id,file_name,width,height,coco_url,cnt_ann
377723,000000377723.jpg,640,427,http://images.cocodataset.org/val2017/000000377723.jpg,14.0
84031,000000084031.jpg,640,427,http://images.cocodataset.org/val2017/000000084031.jpg,14.0
193181,000000193181.jpg,426,640,http://images.cocodataset.org/val2017/000000193181.jpg,14.0
331280,000000331280.jpg,500,366,http://images.cocodataset.org/val2017/000000331280.jpg,14.0
448263,000000448263.jpg,320,240,http://images.cocodataset.org/val2017/000000448263.jpg,14.0
364884,000000364884.jpg,500,354,http://images.cocodataset.org/val2017/000000364884.jpg,14.0
39484,000000039484.jpg,640,437,http://images.cocodataset.org/val2017/000000039484.jpg,14.0
231508,000000231508.jpg,335,500,http://images.cocodataset.org/val2017/000000231508.jpg,14.0
148508,000000148508.jpg,640,425,http://images.cocodataset.org/val2017/000000148508.jpg,14.0
288685,000000288685.jpg,640,436,http://images.cocodataset.org/val2017/000000288685.jpg,14.0
226802,000000226802.jpg,640,360,http://images.cocodataset.org/val2017/000000226802.jpg,14.0
476770,000000476770.jpg,640,426,http://images.cocodataset.org/val2017/000000476770.jpg,14.0
524850,000000524850.jpg,500,319,http://images.cocodataset.org/val2017/000000524850.jpg,14.0
37689,000000037689.jpg,640,426,http://images.cocodataset.org/val2017/000000037689.jpg,14.0
227399,000000227399.jpg,640,482,http://images.cocodataset.org/val2017/000000227399.jpg,14.0
332351,000000332351.jpg,640,426,http://images.cocodataset.org/val2017/000000332351.jpg,14.0
402615,000000402615.jpg,640,427,http://images.cocodataset.org/val2017/000000402615.jpg,14.0
410496,000000410496.jpg,427,640,http://images.cocodataset.org/val2017/000000410496.jpg,14.0
74092,000000074092.jpg,332,500,http://images.cocodataset.org/val2017/000000074092.jpg,14.0
328430,000000328430.jpg,433,640,http://images.cocodataset.org/val2017/000000328430.jpg,14.0
60507,000000060507.jpg,640,427,http://images.cocodataset.org/val2017/000000060507.jpg,14.0
94157,000000094157.jpg,372,640,http://images.cocodataset.org/val2017/000000094157.jpg,14.0
490936,000000490936.jpg,480,640,http://images.cocodataset.org/val2017/000000490936.jpg,14.0
108503,000000108503.jpg,640,427,http://images.cocodataset.org/val2017/000000108503.jpg,14.0
450399,000000450399.jpg,640,480,http://images.cocodataset.org/val2017/000000450399.jpg,14.0
562818,000000562818.jpg,640,480,http://images.cocodataset.org/val2017/000000562818.jpg,14.0
161978,000000161978.jpg,640,433,http://images.cocodataset.org/val2017/000000161978.jpg,14.0
563648,000000563648.jpg,468,640,http://images.cocodataset.org/val2017/000000563648.jpg,14.0
